Wavelength,N8978(Veg)
0.683,2.346526953
0.684,2.401928547
0.685,2.470314297
0.686,2.553319879
0.687,2.651637141
0.688,2.766552064
0.689,2.89953767
0.69,3.051096398
0.691,3.221392887
0.692,3.410656924
0.693,3.618741314
0.694,3.845262068
0.695,4.089418788
0.696,4.350694265
0.697,4.628786496
0.698,4.921827124
0.699,5.228628702
0.7,5.548472245
0.701,5.880151621
0.702,6.221843741
0.703,6.572606067
0.704,6.932157488
0.705,7.300880337
0.706,7.679154183
0.707,8.068584817
0.708,8.468410328
0.709,8.875891796
0.71,9.290902425
0.711,9.715135569
0.712,10.14936111
0.713,10.59288418
0.714,11.04566352
0.715,11.50755739
0.716,11.97792399
0.717,12.4570497
0.718,12.94480346
0.719,13.44004038
0.72,13.94052431
0.721,14.4441678
0.722,14.94951263
0.723,15.45507896
0.724,15.95900637
0.725,16.45976398
0.726,16.95642703
0.727,17.44594744
0.728,17.92675734
0.729,18.3976909
0.73,18.8570944
0.731,19.30327966
0.732,19.73492095
0.733,20.1518712
0.734,20.55430653
0.735,20.94254129
0.736,21.31518748
0.737,21.67211475
0.738,22.01072239
0.739,22.33048757
0.74,22.63404012
0.741,22.92275085
0.742,23.19605899
0.743,23.4540575
0.744,23.6978655
0.745,23.92688317
0.746,24.13690029
0.747,24.33261877
0.748,24.51853396
0.749,24.69267962
0.75,24.85412436
0.751,25.00399838
0.752,25.14372874
0.753,25.27434176
0.754,25.39595825
0.755,25.50908095
0.756,25.61407949
0.757,25.71046949
0.758,25.79983419
0.759,25.88275261
0.76,25.95947908
0.761,26.03045742
0.762,26.0961479
0.763,26.15703335
0.764,26.2135759
0.765,26.26596988
0.766,26.31553669
0.767,26.36264879
0.768,26.40656975
0.769,26.44779089
0.77,26.48683516
0.771,26.5235469
0.772,26.55790235
0.773,26.59035772
0.774,26.62003441
0.775,26.64603438
0.776,26.6701114
0.777,26.69768416
0.778,26.72742049
0.779,26.75500062
0.78,26.78146102
0.781,26.80785739
0.782,26.83423973
0.783,26.85995218
0.784,26.88483802
0.785,26.90922388
0.786,26.93265773
0.787,26.95592595
0.788,26.97930987
0.789,27.00273458
0.79,27.02591136
0.791,27.04934238
0.792,27.07293615
0.793,27.09623881
0.794,27.11935262
0.795,27.14216612
0.796,27.1651283
0.797,27.18654731
0.798,27.20675096
0.799,27.22625341
0.8,27.24533684
0.801,27.26422528
0.802,27.28417429
0.803,27.30598767
0.804,27.32995003
0.805,27.35595725
0.806,27.3836368
0.807,27.4101697
0.808,27.4357173
0.809,27.46138823
0.81,27.48781376
0.811,27.51480504
0.812,27.54112367
0.813,27.56664346
0.814,27.59134101
0.815,27.61500924
0.816,27.63855177
0.817,27.66172645
0.818,27.68378047
0.819,27.70458567
0.82,27.72372563
0.821,27.74155111
0.822,27.75727394
0.823,27.77017234
0.824,27.7812045
0.825,27.79033581
0.826,27.79740563
0.827,27.80200247
0.828,27.80576103
0.829,27.80934443
0.83,27.81301395
0.831,27.81769973
0.832,27.82414995
0.833,27.8319674
0.834,27.84033018
0.835,27.84804988
0.836,27.85517485
0.837,27.86182583
0.838,27.86915752
0.839,27.87804902
0.84,27.8881477
0.841,27.89853867
0.842,27.9086556
0.843,27.91932182
0.844,27.93113049
0.845,27.9445605
0.846,27.95938859
0.847,27.97368564
0.848,27.98822177
0.849,28.00305631
0.85,28.01742148
0.851,28.03172023
0.852,28.04535396
0.853,28.05802882
0.854,28.07139148
0.855,28.08436484
0.856,28.0972318
0.857,28.11030449
0.858,28.12351664
0.859,28.13584596
0.86,28.14752065
0.861,28.15948402
0.862,28.17117727
0.863,28.18224351
0.864,28.19233615
0.865,28.20131809
0.866,28.21081808
0.867,28.22014314
0.868,28.22875155
0.869,28.23645833
0.87,28.2444839
0.871,28.25281515
0.872,28.26083696
0.873,28.26857642
0.874,28.27635924
0.875,28.28403083
0.876,28.29135464
0.877,28.29770996
0.878,28.30307875
0.879,28.30708356
0.88,28.30995924
0.881,28.31386027
0.882,28.31755741
0.883,28.32099659
0.884,28.32604744
0.885,28.33170471
0.886,28.33885446
0.887,28.34713213
0.888,28.35570831
0.889,28.36467268
0.89,28.37326429
0.891,28.3813295
0.892,28.38989919
0.893,28.39749767
0.894,28.40420575
0.895,28.41088914
0.896,28.41789945
0.897,28.42418148
0.898,28.42989195
0.899,28.43553485
0.9,28.44231667
0.901,28.44771105
0.902,28.45165434
0.903,28.45550452
0.904,28.45874454
0.905,28.46133141
0.906,28.46261661
0.907,28.46163445
0.908,28.45834896
0.909,28.45350931
0.91,28.44816223
0.911,28.44274248
0.912,28.4349378
0.913,28.42640438
0.914,28.41777251
0.915,28.40757311
0.916,28.39893961
0.917,28.38976708
0.918,28.37892534
0.919,28.36786564
0.92,28.3554195
0.921,28.34335213
0.922,28.33286507
0.923,28.32222541
0.924,28.31196147
0.925,28.30034591
0.926,28.28783196
0.927,28.27574832
0.928,28.26071725
0.929,28.24346875
0.93,28.2241209
0.931,28.20142792
0.932,28.18069731
0.933,28.16057785
0.934,28.13710447
0.935,28.10880655
0.936,28.07664512
0.937,28.04131939
0.938,28.00209999
0.939,27.95699369
0.94,27.90733046
0.941,27.85269092
0.942,27.7932453
0.943,27.73035278
0.944,27.6603288
0.945,27.58645362
0.946,27.51203603
0.947,27.43176872
0.948,27.34751967
0.949,27.26023649
0.95,27.1711556
0.951,27.08411149
0.952,26.99444008
0.953,26.90391935
0.954,26.81232496
0.955,26.71821189
0.956,26.62785867
0.957,26.54100144
0.958,26.45487091
0.959,26.37154866
0.96,26.29111287
0.961,26.21806008
0.962,26.15369562
0.963,26.09086447
0.964,26.02892961
0.965,25.96960827
0.966,25.91830102
0.967,25.87446851
0.968,25.83071336
0.969,25.79033798
0.97,25.7547064
0.971,25.72073137
0.972,25.6918551
0.973,25.66077969
0.974,25.62877445
0.975,25.60349666
0.976,25.58001175
0.977,25.55443737
0.978,25.52978234
0.979,25.50690036
0.98,25.48730202
0.981,25.46928683
0.982,25.45295834
0.983,25.44120417
0.984,25.42527719
0.985,25.41579656
0.986,25.3417201
0.987,25.29077796
0.988,25.26062603
0.989,25.25067634
0.99,25.26231971
0.991,25.29668192
0.992,25.34852009
0.993,25.41530588
0.994,25.49905657
0.995,25.59890772
0.996,25.71353729
0.997,25.83783856
0.998,25.96713149
0.999,26.10466961
1,26.24603461
1.001,26.39025747
1.002,26.53804414
1.003,26.68303655
1.004,26.82945181
1.005,26.97384966
1.006,27.11013973
1.007,27.23838692
1.008,27.35884164
1.009,27.46933898
1.01,27.56741189
1.011,27.65138617
1.012,27.71889552
1.013,27.76366871
1.014,27.78448256
1.015,27.78853051
1.016,27.76314701
1.017,27.80466446
1.018,27.84660942
1.019,27.8888306
1.02,27.93230388
1.021,27.9766107
1.022,28.02062177
1.023,28.06506624
1.024,28.10989834
1.025,28.15420708
1.026,28.1982965
1.027,28.2420497
1.028,28.2843571
1.029,28.32539237
1.03,28.36619206
1.031,28.4069375
1.032,28.44814423
1.033,28.48930141
1.034,28.52990254
1.035,28.57040842
1.036,28.61041811
1.037,28.64880505
1.038,28.68672494
1.039,28.72350295
1.04,28.75927259
1.041,28.79460538
1.042,28.8292167
1.043,28.86181133
1.044,28.89422584
1.045,28.92672803
1.046,28.95851005
1.047,28.99036413
1.048,29.02211327
1.049,29.05183827
1.05,29.08053337
1.051,29.10765122
1.052,29.13232163
1.053,29.15675889
1.054,29.18171812
1.055,29.20631115
1.056,29.23018187
1.057,29.25257046
1.058,29.27304111
1.059,29.29179433
1.06,29.3105808
1.061,29.32989279
1.062,29.34978557
1.063,29.36888292
1.064,29.38637698
1.065,29.40176342
1.066,29.41545245
1.067,29.42811577
1.068,29.44123783
1.069,29.45449051
1.07,29.46793667
1.071,29.48124206
1.072,29.49392272
1.073,29.50524742
1.074,29.51652781
1.075,29.52719705
1.076,29.53752925
1.077,29.54745504
1.078,29.55605503
1.079,29.56258764
1.08,29.56849863
1.081,29.57285147
1.082,29.57527706
1.083,29.57876485
1.084,29.58283197
1.085,29.58542356
1.086,29.58812771
1.087,29.59026014
1.088,29.59114075
1.089,29.59070478
1.09,29.59105187
1.091,29.59124499
1.092,29.58943142
1.093,29.58654892
1.094,29.58319586
1.095,29.57982876
1.096,29.57736071
1.097,29.57561455
1.098,29.57498858
1.099,29.57459771
1.1,29.57551027
1.101,29.57875263
1.102,29.58439767
1.103,29.59174674
1.104,29.6016621
1.105,29.61580269
1.106,29.63506582
1.107,29.65627923
1.108,29.68064017
1.109,29.70775843
1.11,29.73602316
1.111,29.7654322
1.112,29.79617172
1.113,29.82909826
1.114,29.86196456
1.115,29.89173621
1.116,29.91812632
1.117,29.93735463
1.118,29.94745993
1.119,29.94727109
1.12,29.93675827
1.121,29.91289057
1.122,29.87388672
1.123,29.82112559
1.124,29.75336446
1.125,29.67060054
1.126,29.57544052
1.127,29.46640212
1.128,29.34319571
1.129,29.20676373
1.13,29.06022494
1.131,28.90348864
1.132,28.7373663
1.133,28.56403816
1.134,28.38450587
1.135,28.19808688
1.136,28.0054137
1.137,27.80673168
1.138,27.60457396
1.139,27.39862283
1.14,27.189827
1.141,26.98059888
1.142,26.77085279
1.143,26.56161473
1.144,26.35304815
1.145,26.14494043
1.146,25.93854172
1.147,25.73337357
1.148,25.53095914
1.149,25.33242574
1.15,25.13915107
1.151,24.95108102
1.152,24.76887994
1.153,24.59562523
1.154,24.43260262
1.155,24.28015823
1.156,24.13890732
1.157,24.00653828
1.158,23.88448983
1.159,23.77290137
1.16,23.67182272
1.161,23.58046169
1.162,23.49858681
1.163,23.42489729
1.164,23.35676554
1.165,23.2937007
1.166,23.23677864
1.167,23.18402075
1.168,23.13392185
1.169,23.08740302
1.17,23.04318862
1.171,22.99990999
1.172,22.95797387
1.173,22.91782779
1.174,22.87907197
1.175,22.84066444
1.176,22.80272878
1.177,22.76515041
1.178,22.72784921
1.179,22.69009073
1.18,22.65226658
1.181,22.61412982
1.182,22.57604349
1.183,22.53938493
1.184,22.50357446
1.185,22.46819014
1.186,22.43302944
1.187,22.3997757
1.188,22.36916557
1.189,22.34020424
1.19,22.31283785
1.191,22.28787568
1.192,22.2651588
1.193,22.24469649
1.194,22.22640765
1.195,22.21127063
1.196,22.19956414
1.197,22.19001195
1.198,22.18340079
1.199,22.17994727
1.2,22.17849314
1.201,22.17948335
1.202,22.18385105
1.203,22.19119428
1.204,22.2012587
1.205,22.21354365
1.206,22.22837076
1.207,22.24573958
1.208,22.26572052
1.209,22.28827288
1.21,22.31319082
1.211,22.34055127
1.212,22.37011575
1.213,22.40219586
1.214,22.43663287
1.215,22.4734498
1.216,22.51248924
1.217,22.55493484
1.218,22.59944625
1.219,22.64430333
1.22,22.6900388
1.221,22.73733578
1.222,22.78530451
1.223,22.83371579
1.224,22.88234534
1.225,22.9313462
1.226,22.98022269
1.227,23.02848447
1.228,23.07632561
1.229,23.12365794
1.23,23.17006999
1.231,23.21524315
1.232,23.25921562
1.233,23.30230453
1.234,23.3444061
1.235,23.38525374
1.236,23.42501739
1.237,23.46394782
1.238,23.50194113
1.239,23.53829115
1.24,23.57358597
1.241,23.60877588
1.242,23.64293652
1.243,23.67606763
1.244,23.7082368
1.245,23.7393456
1.246,23.76985308
1.247,23.79964935
1.248,23.82811992
1.249,23.85482987
1.25,23.88026183
1.251,23.90497273
1.252,23.92834426
1.253,23.95024781
1.254,23.97132373
1.255,23.99124748
1.256,24.00945848
1.257,24.02618232
1.258,24.04202566
1.259,24.0567661
1.26,24.07020764
1.261,24.08249538
1.262,24.09381772
1.263,24.10410254
1.264,24.11300538
1.265,24.12080732
1.266,24.12781751
1.267,24.13387719
1.268,24.13872224
1.269,24.14258128
1.27,24.14603989
1.271,24.14862316
1.272,24.14947281
1.273,24.14963058
1.274,24.14908227
1.275,24.14722553
1.276,24.14453342
1.277,24.14037243
1.278,24.13441797
1.279,24.12693027
1.28,24.11838577
1.281,24.10864434
1.282,24.09706333
1.283,24.08389634
1.284,24.06949799
1.285,24.05343197
1.286,24.03541839
1.287,24.01574239
1.288,23.99406443
1.289,23.96968548
1.29,23.94297086
1.291,23.91419269
1.292,23.88316145
1.293,23.84945768
1.294,23.8131387
1.295,23.77492959
1.296,23.73469626
1.297,23.69167019
1.298,23.64596903
1.299,23.59724805
1.3,23.54495077
1.301,23.48979824
1.302,23.43212478
1.303,23.37151712
1.304,23.30728281
1.305,23.23964592
1.306,23.16975198
1.307,23.09607721
1.308,23.01879739
1.309,22.93812759
1.31,22.85374623
1.311,22.76638225
1.312,22.67672147
1.313,22.58491255
1.314,22.49091044
1.315,22.39528203
1.316,22.2975644
1.317,22.19821414
1.318,22.09759844
1.319,21.99554048
1.32,21.8918881
1.321,21.78564976
1.322,21.67662369
1.323,21.56488682
1.324,21.45105583
1.325,21.33579945
1.326,21.2195925
1.327,21.10144669
1.328,20.98234881
1.329,20.86338466
1.33,20.74447256
1.331,20.62553794
1.332,20.50810773
1.333,20.3919557
1.334,20.2790552
1.335,20.17086224
1.336,20.06721451
1.337,19.96638941
1.338,19.87139117
1.339,19.78211499
1.34,19.70133462
1.341,19.62827447
1.342,19.55668419
1.343,19.49672694
1.344,19.45146243
1.345,19.42966268
1.346,19.4263425
1.347,19.39650306
1.348,19.37905468
1.349,19.40841572
1.35,0
1.351,0
1.352,0
1.353,0
1.354,0
1.355,0
1.356,0
1.357,0
1.358,0
1.359,0
1.36,0
1.361,0
1.362,0
1.363,0
1.364,0
1.365,0
1.366,0
1.367,0
1.368,0
1.369,0
1.37,0
1.371,0
1.372,0
1.373,0
1.374,0
1.375,0
1.376,0
1.377,0
1.378,0
1.379,0
1.38,0
1.381,0
1.382,0
1.383,0
1.384,0
1.385,0
1.386,0
1.387,0
1.388,0
1.389,0
1.39,0
1.391,0
1.392,0
1.393,0
1.394,0
1.395,0
1.396,0
1.397,0
1.398,0
1.399,0
1.4,0
1.401,0
1.402,0
1.403,0
1.404,0
1.405,0
1.406,0
1.407,0
1.408,0
1.409,0
1.41,0
1.411,0
1.412,0
1.413,0
1.414,0
1.415,0
1.416,0
1.417,0
1.418,0
1.419,0
1.42,0
1.421,0
1.422,0
1.423,0
1.424,0
1.425,0
1.426,0
1.427,0
1.428,0
1.429,0
1.43,0
1.431,0
1.432,0
1.433,0
1.434,0
1.435,0
1.436,0
1.437,0
1.438,0
1.439,0
1.44,0
1.441,0
1.442,0
1.443,0
1.444,0
1.445,0
1.446,0
1.447,0
1.448,0
1.449,0
1.45,0
1.451,0
1.452,0
1.453,0
1.454,0
1.455,0
1.456,0
1.457,0
1.458,0
1.459,0
1.46,0
1.461,5.620489106
1.462,5.630750583
1.463,5.643296476
1.464,5.658529311
1.465,5.676823127
1.466,5.697671703
1.467,5.720707659
1.468,5.745028769
1.469,5.769284992
1.47,5.794047797
1.471,5.819959231
1.472,5.846524983
1.473,5.873551119
1.474,5.900638416
1.475,5.927591107
1.476,5.9542035
1.477,5.980390398
1.478,6.006666454
1.479,6.032360323
1.48,6.058141332
1.481,6.084756826
1.482,6.11099289
1.483,6.136840631
1.484,6.162992791
1.485,6.189375355
1.486,6.216209856
1.487,6.243945248
1.488,6.272236871
1.489,6.30068757
1.49,6.328875754
1.491,6.358058118
1.492,6.388354914
1.493,6.419159663
1.494,6.450919668
1.495,6.48331187
1.496,6.515772624
1.497,6.548698966
1.498,6.582239728
1.499,6.616041434
1.5,6.651200989
1.501,6.687454814
1.502,6.724004615
1.503,6.760989054
1.504,6.798503629
1.505,6.836800764
1.506,6.875351686
1.507,6.914603456
1.508,6.954908781
1.509,6.995664592
1.51,7.036134034
1.511,7.076824134
1.512,7.117492721
1.513,7.158306406
1.514,7.199387427
1.515,7.240520891
1.516,7.281623213
1.517,7.322198957
1.518,7.362085741
1.519,7.402298086
1.52,7.443684174
1.521,7.485199831
1.522,7.525928335
1.523,7.566644674
1.524,7.607791235
1.525,7.648833222
1.526,7.689929365
1.527,7.731691357
1.528,7.772831692
1.529,7.813812651
1.53,7.855927901
1.531,7.897911539
1.532,7.938929025
1.533,7.980182899
1.534,8.0218648
1.535,8.063279178
1.536,8.104414948
1.537,8.145547438
1.538,8.185854046
1.539,8.225849449
1.54,8.266052681
1.541,8.306461927
1.542,8.346507334
1.543,8.386201449
1.544,8.425390864
1.545,8.464503057
1.546,8.504148368
1.547,8.543663856
1.548,8.582792452
1.549,8.622315661
1.55,8.661995724
1.551,8.700739098
1.552,8.738895149
1.553,8.777471265
1.554,8.815829826
1.555,8.853678644
1.556,8.891591183
1.557,8.929549901
1.558,8.966997862
1.559,9.004359953
1.56,9.04147241
1.561,9.077459885
1.562,9.112647589
1.563,9.147826728
1.564,9.182575646
1.565,9.217151319
1.566,9.252015955
1.567,9.286659853
1.568,9.320646688
1.569,9.354855254
1.57,9.389857695
1.571,9.424316265
1.572,9.458367527
1.573,9.493083161
1.574,9.52773857
1.575,9.562228477
1.576,9.596774515
1.577,9.631229052
1.578,9.66554808
1.579,9.699598209
1.58,9.73381338
1.581,9.768132604
1.582,9.802615237
1.583,9.837384864
1.584,9.87152052
1.585,9.905288647
1.586,9.939229942
1.587,9.97208126
1.588,10.00455864
1.589,10.03691073
1.59,10.06911017
1.591,10.1010584
1.592,10.13275941
1.593,10.16464718
1.594,10.1964083
1.595,10.22850931
1.596,10.26149864
1.597,10.29428356
1.598,10.32583768
1.599,10.35736999
1.6,10.38969651
1.601,10.42121458
1.602,10.45259942
1.603,10.48496331
1.604,10.51679027
1.605,10.54778205
1.606,10.57909064
1.607,10.61115921
1.608,10.64279749
1.609,10.67369922
1.61,10.70493383
1.611,10.73590314
1.612,10.76609838
1.613,10.79539995
1.614,10.82385326
1.615,10.85237542
1.616,10.88048137
1.617,10.90754702
1.618,10.93481823
1.619,10.96137117
1.62,10.98720967
1.621,11.01283368
1.622,11.03772228
1.623,11.06209757
1.624,11.08584493
1.625,11.10930942
1.626,11.13263231
1.627,11.15506817
1.628,11.17635534
1.629,11.19856144
1.63,11.22192679
1.631,11.24489959
1.632,11.26819185
1.633,11.29255565
1.634,11.31678203
1.635,11.34055296
1.636,11.36430753
1.637,11.38825148
1.638,11.41111277
1.639,11.43320611
1.64,11.45572104
1.641,11.47799953
1.642,11.49974584
1.643,11.52046626
1.644,11.53998292
1.645,11.55848046
1.646,11.57498667
1.647,11.59007418
1.648,11.60432816
1.649,11.61720064
1.65,11.62865538
1.651,11.63895106
1.652,11.64799737
1.653,11.65600449
1.654,11.66304847
1.655,11.66875295
1.656,11.67294586
1.657,11.67617866
1.658,11.6784181
1.659,11.68061548
1.66,11.68256068
1.661,11.68363333
1.662,11.68421987
1.663,11.68479609
1.664,11.68508213
1.665,11.68366456
1.666,11.67979195
1.667,11.6759494
1.668,11.67210518
1.669,11.66783878
1.67,11.66355351
1.671,11.65827262
1.672,11.65123564
1.673,11.64230331
1.674,11.6322126
1.675,11.62109096
1.676,11.60824765
1.677,11.59414694
1.678,11.57887611
1.679,11.56204341
1.68,11.54345034
1.681,11.52358957
1.682,11.50231592
1.683,11.47995567
1.684,11.45723968
1.685,11.43212138
1.686,11.40464984
1.687,11.37671405
1.688,11.34735447
1.689,11.31727505
1.69,11.28833249
1.691,11.25838278
1.692,11.22618894
1.693,11.19362127
1.694,11.16106891
1.695,11.12676206
1.696,11.09153618
1.697,11.05768289
1.698,11.02351475
1.699,10.98899648
1.7,10.95526311
1.701,10.9216165
1.702,10.88784909
1.703,10.85451875
1.704,10.82179165
1.705,10.789521
1.706,10.75766533
1.707,10.72600258
1.708,10.69469253
1.709,10.66418865
1.71,10.63395497
1.711,10.60476568
1.712,10.57769963
1.713,10.55035725
1.714,10.52264641
1.715,10.4937158
1.716,10.46535005
1.717,10.43917337
1.718,10.41345788
1.719,10.38800797
1.72,10.36298286
1.721,10.33627109
1.722,10.31046169
1.723,10.28837545
1.724,10.26725909
1.725,10.24561718
1.726,10.22510096
1.727,10.20660539
1.728,10.19003609
1.729,10.17637492
1.73,10.16460546
1.731,10.15319189
1.732,10.14271322
1.733,10.13369041
1.734,10.12517626
1.735,10.11645104
1.736,10.10779678
1.737,10.09924486
1.738,10.0902146
1.739,10.08091931
1.74,10.07011215
1.741,10.05694463
1.742,10.04232667
1.743,10.02522875
1.744,10.00746037
1.745,9.989460545
1.746,9.970447728
1.747,9.94972177
1.748,9.926350937
1.749,9.900387274
1.75,9.874346569
1.751,9.849071255
1.752,9.825114003
1.753,9.802064609
1.754,9.7774769
1.755,9.752239001
1.756,9.728199107
1.757,9.707509339
1.758,9.689580278
1.759,9.671992403
1.76,9.655444861
1.761,9.639864305
1.762,9.624600851
1.763,9.612051129
1.764,9.601672393
1.765,9.591637839
1.766,9.585023086
1.767,9.579768124
1.768,9.571780479
1.769,9.564180882
1.77,9.558203818
1.771,9.553261789
1.772,9.552547328
1.773,9.553495808
1.774,9.552322214
1.775,9.550392498
1.776,9.549266471
1.777,9.548490127
1.778,9.55046282
1.779,9.552959806
1.78,9.554260638
1.781,9.555211822
1.782,9.554904418
1.783,9.556162813
1.784,9.560585672
1.785,9.565531003
1.786,9.573138879
1.787,9.583560808
1.788,9.591293604
1.789,9.603217578
1.79,0
1.791,0
1.792,0
1.793,0
1.794,0
1.795,0
1.796,0
1.797,0
1.798,0
1.799,0
1.8,0
1.801,0
1.802,0
1.803,0
1.804,0
1.805,0
1.806,0
1.807,0
1.808,0
1.809,0
1.81,0
1.811,0
1.812,0
1.813,0
1.814,0
1.815,0
1.816,0
